Original Sequence;Original Length;Transformed Sequence;Transformed Length
Ub L Bb R F Rb D Bb Db B Bb Db Lb D Lb B B L B Lb Ub Lb U D F D Fb R D Rb Db Rb Bb Lb Lb B D Bb L B D F R R Fb Rb D Rb Fb Lb F L Fb L D L L L Bb Lb F L B Lb Fb L Fb R F Lb Fb Rb F Lb Lb Lb;76;U' L B' R F R' D B' D' B B' D' L' D L' B2 L B L' U' L' U D F D F' R D R' D' R' B' L2 B D B' L B D F R2 F' R' D R' F' L' F L F' L D L' B' L' F L B L' F' L F' R F L' F' R' F L;69
U R U Rb Fb Db Db F Db Lb F L Bb D B R D Rb Rb Fb R R F R B B D Bb Db Bb Bb Rb B R L Fb Db F Lb Db L Db F D R Fb Rb Fb D D Fb D F Lb F L Fb L D L D Lb Lb Db Lb Db Lb R F D Fb Db Rb Db Bb Bb Bb D Bb Db Bb L B Lb Fb Db Rb D R Fb Fb Fb Rb Db R D R D Fb Db Rb D F Db Rb Bb L B R Lb Db Lb D L;114;U R U R' F' D2 F D' L' F L B' D B R D R2 F' R2 F R B2 D B' D' B2 R' B R L F' D' F L' D' L D' F D R F' R' F' D2 F' D F L' F L F' L D L D L2 D' L' D' L' R F D F' D' R' D' B D B' D' B' L B L' F' D' R' D R F R' D' R D R D F' D' R' D F D' R' B' L B R L' D' L' D L;103
Ub R B F Db Fb Bb D B Lb Db Db L Fb Lb Db L F F D L Db Fb Lb Lb Db F D Lb F Db Fb Lb Rb Fb Fb R F Db F R Db R D B Rb Bb Rb Lb Fb Lb Db Fb D L F L B R L Rb B Rb Bb Lb R Bb Rb Bb Db B D R Rb Rb Db Rb Db R D R D R Db R Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;110;U' R B F D' F' B' D B L' D2 L F' L' D' L F2 D L D' F' L2 D' F D L' F D' F' L' R' F2 R F D' F R D' R D B R' B' R' L' F' L' D' F' D L F L B R L R' B R' B' L' R B' R' B' D' B D R R2 D' R' D' R D R D R D' R D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;102
Lb Rb Fb Lb F L Rb Bb Bb R B D D Bb Rb Fb Rb F U F Ub Fb Lb F L Fb Fb D Fb Db Fb D R Db Rb Fb R Db Db Db Fb Rb Fb Fb Db Lb F L Fb L D Lb Rb D R Fb R F Rb Lb Fb Db F D Lb Lb Lb Lb Lb Lb B D Bb D Lb Db L Db Lb D D Bb D D B D Bb Bb D F Db B D B Fb Db;96;L' R' F' L' F L R' B2 R B D2 B' R' F' R' F U F U' F' L' F L F2 D F' D' F' D R D' R' F' R D F' R' F2 D' L' F L F' L D L' R' D R F' R F R' L' F' D' F D L2 B D B' D L' D' L D' L' D2 B' D2 B D B2 D F D' B D B F' D';82
Rb Lb F L L Db Lb Fb B Rb F Bb Fb D F Rb D R Fb B Lb Db L Bb Db B L D Lb D D D Bb Lb B D R B R Bb Db Rb Fb Fb D D Fb Fb D D F F Db F D Fb Db Rb Db R Rb B Db Bb Bb D B R B D Bb D R F D Fb Db Rb D Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F;94;R' L' F L2 D' L' F' B R' F B' F' D F R' D R F' B L' D' L B' D' B L D L' D' B' L' B D R B R B' D' R' F2 D2 F2 D2 F2 D' F D F' D' R' D' R R' B D' B2 D B R B D B' D R F D F' D' R' D D' F' R' D R F D F2 R F R' F;82
L Bb Rb Rb B R F Ub F U Fb F D Fb D B L D Lb Bb Db Bb Lb B Lb Fb Db Db F L Bb Rb Db R B B D R Db Bb Fb Db Lb F L F Rb D R Fb R F Rb Rb Rb D Fb Rb F R Db R R D Lb Db Fb D F L D Rb Bb Lb B R Bb L B D D Bb D D B D Bb Bb D F Db B D B Fb Db;96;L B' R2 B R F U' F U F' F D F' D B L D L' B' D' B' L' B L' F' D2 F L B' R' D' R B2 D R D' B' F' D' L' F L F R' D R F' R F R D F' R' F R D' R2 D L' D' F' D F L D R' B' L' B R B' L B D2 B' D2 B D B2 D F D' B D B F' D';87
L Db B B Db R D Rb Db Fb Db F D F Bb F L Fb B F L D Lb D Fb Rb D R Bb D B Rb B Db Bb Db Rb B R D F R R Fb Rb D Rb Fb Bb Rb B Db Bb D R B Lb F L Fb L D L L L Bb Bb Bb D Bb Db Bb L B Lb L L D L Ub Db U Db Db Lb Db Lb Db Lb D Lb Db Ub D U Db Fb Rb D R F D Fb Fb Rb Rb Rb F Rb F Fb Rb Bb R B F Bb Rb B R;120;L D' B2 D' R D R' D' F' D' F D F B' F L F' B F L D L' D F' R' D R B' D B R' B D' B' D' R' B R D F R2 F' R' D R' F' B' R' B D' B' D R B L' F L F' L D L' B D B' D' B' L B L' L2 D L U' D' U D2 L' D' L' D' L' D L' D' U' D U D' F' R' D R F D F2 R F R' F F' R' B' R B F B' R' B R;109
B L D B F L Fb Rb D R L Bb Lb B U L Bb Lb Ub Db Fb Db F D F Rb Db R Rb L Bb Bb R B U Rb Ub Lb Rb Fb Rb F D R Rb Lb B B Lb Lb B B L R Bb Db Rb B R B D Lb D L Bb L B Lb F L D Lb Db Fb D D Fb Db F B Db Db Fb Db F Db Db Bb Lb Fb Rb F L Fb R F;96;B L D B F L F' R' D R L B' L' B U L B' L' U' D' F' D' F D F R' D' R R' L B2 R B U R' U' L' R' F' R' F D R R' L' B2 L2 B2 L R B' D' R' B R B D L' D L B' L B L' F L D L' D' F' D2 F' D' F B D2 F' D' F D2 B' L' F' R' F L F' R F;89
U Lb Ub L U Bb Db F Db Fb Rb Fb Rb F U F Ub D D L Db Lb B Db Bb L Fb Db F R D F Db Rb Fb Lb Fb L D F B D L Bb Lb Bb Lb Fb Lb Db Fb D L F L B D Bb Db Lb Db L D Bb Db Lb D L B D F Db Bb D Fb Db B R Db Fb Db F D D Rb Fb R Db Rb F Bb Lb F L B Lb Fb L;98;U L' U' L U B' D' F D' F' R' F' R' F U F U' D2 L D' L' B D' B' L F' D' F R D F D' R' F' L' F' L D F B D L B' L' B' L' F' L' D' F' D L F L B D B' D' L' D' L D B' D' L' D L B D F D' B' D F' D' B R D' F' D' F D2 R' F' R D' R' F B' L' F L B L' F' L;96
B Fb R L Fb Db Lb Db L F B D Bb Db Bb Fb D D F Bb Db B Db Fb Lb Fb L D F R D Rb Db Bb Db B D L F D F Lb Fb Db Fb Lb Lb Bb L B Db Bb Lb B Lb Lb Lb F F D F Ub D U Fb Db Fb Db Fb D F F F D D Bb D D B D Bb Bb D F Db B D B Fb Db Rb Bb L B R Lb Db Lb D L;100;B F' R L F' D' L' D' L F B D B' D' B' F' D2 F B' D' B D' F' L' F' L D F R D R' D' B' D' B D L F D F L' F' D' F' L2 B' L B D' B' L' B L F2 D F U' D U F' D' F' D' F' D F' D2 B' D2 B D B2 D F D' B D B F' D' R' B' L B R L' D' L' D L;90
